T00007	eco	Escherichia coli K-12 MG1655
T01121	etr	Edwardsiella tarda EIB202
T02091	etd	Edwardsiella tarda FL6-60
T03245	ete	Edwardsiella anguillarum
T02509	etc	Edwardsiella piscicida C07-087
T03991	edw	Edwardsiella sp. EA181011
T04005	edl	Edwardsiella sp. LADL05-105
T04508	eho	Edwardsiella hoshinae
T03425	hav	Hafnia alvei
T05667	hpar	Hafnia paralvei
T04310	opo	Obesumbacterium proteus
T05491	lpv	Limnobaculum parvum
T03952	pfq	Pragia fontium
T06157	prag	Jinshanibacter zhutongyuii
T05503	lri	Leminorella richardii
T00001	hin	Haemophilus influenzae Rd KW20 (serotype d)
T00248	hit	Haemophilus influenzae 86-028NP (nontypeable)
T00543	hip	Haemophilus influenzae PittEE (nontypeable)
T00544	hiq	Haemophilus influenzae PittGG (nontypeable)
T01395	hif	Haemophilus influenzae F3031 (nontypeable)
T01400	hil	Haemophilus influenzae F3047 (nontypeable)
T01720	hiu	Haemophilus influenzae 10810 (serotype b)
T01980	hie	Haemophilus influenzae R2846 (nontypeable)
T01981	hiz	Haemophilus influenzae R2866 (nontypeable)
T02839	hik	Haemophilus influenzae KR494 (serotype f)
T03436	hia	Haemophilus influenzae CGSHiCZ412602
T03485	hih	Haemophilus influenzae Hi375
T03720	hiw	Haemophilus influenzae 477
T03721	hic	Haemophilus influenzae C486
T03722	hix	Haemophilus influenzae 723
T01605	hpr	Haemophilus parainfluenzae
T00135	hdu	Haemophilus ducreyi
T05707	hay	Haemophilus sp. oral taxon 036
T06001	hpit	Haemophilus pittmaniae
T06216	hhz	Haemophilus haemolyticus
T06550	haeg	Haemophilus aegyptius
T06595	hpaa	Haemophilus parahaemolyticus
T08114	hsem	Haemophilus seminalis
T00825	hap	Glaesserella parasuis SH0165
T02697	hpaz	Glaesserella parasuis ZJ0906
T03301	hpas	Glaesserella parasuis SH03
T03312	hpak	Glaesserella parasuis KL0318
T05643	gle	Glaesserella sp. 15-184
T00386	hso	Histophilus somni 129PT
T00673	hsm	Histophilus somni 2336
T00046	pmu	Pasteurella multocida subsp. multocida Pm70
T01776	pmv	Pasteurella multocida subsp. multocida HN06
T02057	pul	Pasteurella multocida subsp. multocida 3480
T01729	pmp	Pasteurella multocida 36950
T03322	pmul	Pasteurella multocida ATCC 43137
T05467	pdag	Pasteurella dagmatis
T06668	psky	Pasteurella skyensis
T07499	patl	Pasteurella atlantica
T07908	pcai	Pasteurella canis
T00201	msu	Mannheimia succiniciproducens
T06488	bsun	Basfia succiniciproducens
T02522	mht	Mannheimia haemolytica USDA-ARS-USMARC-185
T02523	mhq	Mannheimia haemolytica USDA-ARS-USMARC-183
T03786	mhat	Mannheimia haemolytica USDA-ARS-USMARC-184
T02635	mhx	Mannheimia haemolytica M42548
T02746	mhae	Mannheimia haemolytica D153
T02747	mham	Mannheimia haemolytica D171
T02748	mhao	Mannheimia haemolytica D174
T02758	mhal	Mannheimia haemolytica USMARC_2286
T03749	mhaq	Mannheimia haemolytica 89010807N
T03750	mhay	Mannheimia haemolytica 89010807N lktA-
T03026	mvr	Mannheimia sp. USDA-ARS-USMARC-1261
T03027	mvi	Mannheimia varigena USDA-ARS-USMARC-1296
T03028	mvg	Mannheimia varigena USDA-ARS-USMARC-1312
T03029	mve	Mannheimia varigena USDA-ARS-USMARC-1388
T06423	mann	Mannheimia ovis
T06759	mgra	Mannheimia granulomatis
T07212	mbos	Mannheimia bovis
T07233	mpeg	Mannheimia pernigra
T00476	apl	Actinobacillus pleuropneumoniae L20 (serotype 5b)
T00644	apj	Actinobacillus pleuropneumoniae JL03 (serotype 3)
T00717	apa	Actinobacillus pleuropneumoniae AP76 (serotype 7)
T00558	asu	Actinobacillus succinogenes
T02262	asi	Actinobacillus suis H91-0380
T03246	ass	Actinobacillus suis ATCC 33415
T03501	aeu	Actinobacillus equuli subsp. equuli
T05443	apor	Actinobacillus porcitonsillarum
T05940	aio	Actinobacillus indolicus
T06572	adp	Actinobacillus delphinicola
T06678	alig	Actinobacillus lignieresii
T00929	aap	Aggregatibacter aphrophilus NJ8700
T04521	aaz	Aggregatibacter aphrophilus W10433
T00993	aat	Aggregatibacter actinomycetemcomitans D11S-1
T01651	aao	Aggregatibacter actinomycetemcomitans ANH9381
T02046	aan	Aggregatibacter actinomycetemcomitans D7S-1
T03184	aah	Aggregatibacter actinomycetemcomitans HK1651
T04531	aacn	Aggregatibacter actinomycetemcomitans NUM4039
T04753	aact	Aggregatibacter actinomycetemcomitans 624
T06075	aseg	Aggregatibacter segnis
T01482	gan	Gallibacterium anatis
T02504	bto	Bibersteinia trehalosi USDA-ARS-USMARC-192
T03017	btre	Bibersteinia trehalosi USDA-ARS-USMARC-188
T03018	btrh	Bibersteinia trehalosi USDA-ARS-USMARC-189
T03019	btra	Bibersteinia trehalosi USDA-ARS-USMARC-190
T05728	apag	Avibacterium paragallinarum
T06626	avt	Avibacterium volantium
T05800	rpne	Rodentibacter pneumotropicus
T06473	rhey	Rodentibacter heylii
T07810	rhae	Rodentibacter haemolyticus
T06287	ooi	Otariodibacter oris
T06481	fcl	Frederiksenia canicola
T06663	bhud	Bisgaardia hudsonensis
T05989	paet	Pasteurella aerogenes
T00033	xfa	Xylella fastidiosa 9a5c
T00113	xft	Xylella fastidiosa Temecula1
T00677	xfm	Xylella fastidiosa M12
T00692	xfn	Xylella fastidiosa M23
T01979	xff	Xylella fastidiosa subsp. fastidiosa GB514
T03317	xfl	Xylella fastidiosa MUL0034
T03318	xfs	Xylella fastidiosa subsp. sandyi Ann-1
T04925	xfh	Xylella fastidiosa Hib4
T05568	xtw	Xylella taiwanensis
T00083	xcc	Xanthomonas campestris pv. campestris ATCC 33913
T00247	xcb	Xanthomonas campestris pv. campestris 8004
T00759	xca	Xanthomonas campestris pv. campestris B100
T01872	xcp	Xanthomonas campestris pv. raphani
T00288	xcv	Xanthomonas campestris pv. vesicatoria
T01616	xax	Xanthomonas axonopodis pv. citrumelo F1
T00084	xac	Xanthomonas citri pv. citri 306
T02519	xci	Xanthomonas citri subsp. citri Aw12879
T03584	xct	Xanthomonas citri subsp. citri A306
T03894	xcj	Xanthomonas citri subsp. citri UI6
T03733	xcu	Xanthomonas citri pv. citri UI7
T03734	xcn	Xanthomonas citri pv. citri NT17
T03779	xcw	Xanthomonas citri pv. citri MN10
T03780	xcr	Xanthomonas citri pv. citri MN11
T03735	xcm	Xanthomonas citri pv. citri MN12
T03781	xcf	Xanthomonas citri pv. citri mf20
T03094	xfu	Xanthomonas citri pv. fuscans
T02500	xao	Xanthomonas axonopodis Xac29-1
T00360	xom	Xanthomonas oryzae pv. oryzae MAFF 311018
T00235	xoo	Xanthomonas oryzae pv. oryzae KACC 10331
T00763	xop	Xanthomonas oryzae pv. oryzae PXO99A
T03765	xoy	Xanthomonas oryzae pv. oryzae PXO86
T01873	xor	Xanthomonas oryzae pv. oryzicola BLS256
T03868	xoz	Xanthomonas oryzae pv. oryzicola CFBP7342
T01160	xal	Xanthomonas albilineans
T03566	xsa	Xanthomonas sacchari
T03961	xtn	Xanthomonas translucens pv. undulosa
T04667	xfr	Xanthomonas fragariae
T04741	xve	Xanthomonas vesicatoria
T04778	xpe	Xanthomonas perforans
T05082	xhr	Xanthomonas hortorum
T04668	xga	Xanthomonas hortorum pv. gardneri
T05156	xph	Xanthomonas phaseoli
T05388	xva	Xanthomonas vasicola pv. vasculorum
T06033	xan	Xanthomonas sp. ISO98C4
T06096	xar	Xanthomonas arboricola
T06345	xhy	Xanthomonas hyacinthi
T06553	xcz	Xanthomonas cucurbitae
T06965	xth	Xanthomonas theicola
T07902	xeu	Xanthomonas euroxanthea
T07925	xhd	Xanthomonas hydrangeae
T08368	xpr	Xanthomonas prunicola
T00718	sml	Stenotrophomonas maltophilia K279a
T00733	smt	Stenotrophomonas maltophilia R551-3
T01596	buj	Stenotrophomonas maltophilia JV3
T02061	smz	Stenotrophomonas maltophilia D457
T04107	sacz	Stenotrophomonas acidaminiphila
T04408	stek	Stenotrophomonas sp. KCTC 12332
T04500	srh	Stenotrophomonas rhizophila
T04630	slm	Stenotrophomonas sp. LM091
T04963	sten	Stenotrophomonas sp. WZN-1
T05384	stem	Stenotrophomonas sp. MYb57
T06051	stes	Stenotrophomonas sp. ASS1
T07128	sinc	Stenotrophomonas indicatrix
T07567	spaq	Stenotrophomonas pavanii
T01403	psu	Pseudoxanthomonas suwonensis 11-1
T04241	psuw	Pseudoxanthomonas suwonensis J1
T01643	psd	Pseudoxanthomonas spadix
T06805	pmex	Pseudoxanthomonas mexicana
T07964	pjp	Pseudoxanthomonas japonensis
T08066	pdd	Pseudoxanthomonas daejeonensis
T04154	lab	Lysobacter antibioticus 76
T04526	laq	Lysobacter antibioticus ATCC 29479
T04162	lcp	Lysobacter capsici
T04163	lgu	Lysobacter gummosus
T04371	lez	Lysobacter enzymogenes C3
T04598	lem	Lysobacter enzymogenes M497-1
T05495	lmb	Lysobacter maris
T05586	lyt	Lysobacter sp. TY2-98
T05527	lue	Lysobacter oculi
T06167	lyj	Lysobacter alkalisoli
T06337	lsol	Lysobacter soli
T07218	lsx	Lysobacter solisilvae
T07237	lare	Lysobacter arenosi
T07483	lhx	Lysobacter helvus
T07541	lcas	Lysobacter caseinilyticus
T08092	lcic	Lysobacter ciconiae
T08144	lavi	Lysobacter avium
T08395	llz	Lysobacter luteus
T05077	lum	Luteimonas chenhongjianii
T05957	lus	Luteimonas yindakuii
T06154	lug	Luteimonas granuli
T06025	thes	Thermomonas aquatica
T06498	theh	Thermomonas sp. HDW16
T06786	tcn	Thermomonas carbonis
T06816	tbv	Thermomonas brevis
T06010	xbc	Pseudolysobacter antarcticus
T01773	fau	Frateuria aurantia
T02495	rhd	Rhodanobacter denitrificans
T06136	rgl	Rhodanobacter glycinis
T08065	rth	Rhodanobacter thiooxydans
T03074	dji	Dyella jiangningensis
T03215	dja	Dyella japonica
T04308	dtx	Dyella thiooxydans
T05846	dye	Dyella sp. M7H15-1
T07062	dcs	Dyella caseinilytica
T07969	dtl	Dyella telluris
T08348	dta	Dyella terrae
T04377	dko	Dokdonella koreensis
T04563	lrz	Luteibacter rhizovicinus DSM 16549
T06035	lpy	Luteibacter pinisoli
T08319	lanh	Luteibacter anthropi
T05483	xba	Ahniella affigens
T06043	rbd	Aerosticca soli
T00034	vch	Vibrio cholerae O1 El Tor N16961
T03827	vcf	Vibrio cholerae O1 El Tor FJ147
T03666	vcs	Vibrio cholerae O1 El Tor MS6
T01650	vce	Vibrio cholerae O1 2010EL-1786
T03389	vcq	Vibrio cholerae O1 2012EL-2176
T00903	vcj	Vibrio cholerae O1 MJ-1236
T01766	vci	Vibrio cholerae O1 IEC224
T00520	vco	Vibrio cholerae O1 O395
T02099	vcr	Vibrio cholerae O1 O395
T00891	vcm	Vibrio cholerae O1 M66-2
T01871	vcl	Vibrio cholerae O1 LMA3984-4
T03828	vcx	Vibrio cholerae O49 1154-74
T03829	vcz	Vibrio cholerae O27 10432-62
T00108	vvu	Vibrio vulnificus CMCP6
T00150	vvy	Vibrio vulnificus YJ016
T01415	vvm	Vibrio vulnificus MO6-24/O
T03294	vvl	Vibrio vulnificus 93U204
T00120	vpa	Vibrio parahaemolyticus RIMD 2210633
T02409	vpb	Vibrio parahaemolyticus BB22OP
T02760	vpk	Vibrio parahaemolyticus O1:K33 CDC_K4557
T02761	vpf	Vibrio parahaemolyticus O1:Kuk FDA_R31
T03116	vph	Vibrio parahaemolyticus UCM-V493
T00589	vha	Vibrio campbellii ATCC BAA-1116
T02837	vca	Vibrio campbellii ATCC BAA-1116
T02840	vag	Vibrio alginolyticus
T01107	vex	Vibrio antiquarius
T05332	vdb	Vibrio diabolicus
T04380	vhr	Vibrio harveyi
T04636	vna	Vibrio natriegens
T04844	vow	Vibrio owensii
T05115	vro	Vibrio rotiferianus
T00812	vsp	Vibrio atlanticus
T01683	vej	Vibrio sp. EJY3
T01680	vfu	Vibrio furnissii
T02871	vni	Vibrio nigripulchritudo
T01536	van	Vibrio anguillarum 775
T02823	lag	Vibrio anguillarum M3
T03657	vau	Vibrio anguillarum NB10
T03444	vcy	Vibrio coralliilyticus RE98
T03497	vct	Vibrio coralliilyticus OCN014
T03445	vtu	Vibrio tubiashii
T07114	veu	Vibrio europaeus
T08230	vsi	Vibrio sinaloensis
T04379	vfl	Vibrio fluvialis
T04381	vmi	Vibrio mimicus
T04649	vbr	Vibrio breoganii
T04650	vsc	Vibrio scophthalmi
T04933	vga	Vibrio gazogenes
T04936	vsh	Vibrio mediterranei
T05259	vqi	Vibrio qinghaiensis
T05424	vta	Vibrio tapetis subsp. tapetis
T05841	vaf	Vibrio alfacsensis
T06228	vnl	Vibrio neocaledonicus
T06393	vcc	Vibrio cyclitrophicus
T06574	vas	Vibrio astriarenae
T06969	vaq	Vibrio aquimaris
T07037	vsr	Vibrio spartinae
T07086	vka	Vibrio kanaloae
T07449	vzi	Vibrio ziniensis
T07785	vnv	Vibrio navarrensis
T08202	vgi	Vibrio gigantis
T08240	vsl	Vibrio splendidus
T08432	vpl	Vibrio paracholerae
T00236	vfi	Aliivibrio fischeri ES114
T00754	vfm	Aliivibrio fischeri MJ11
T00782	vsa	Aliivibrio salmonicida
T03808	awd	Aliivibrio wodanis
T00173	ppr	Photobacterium profundum
T03698	pgb	Photobacterium gaetbulicola
T04927	pds	Photobacterium damselae subsp. damselae
T07175	pgh	Photobacterium ganghwense
T04260	gho	Grimontia hollisae
T05093	pmai	Paraphotobacterium marinum
T05946	saly	Salinivibrio sp. YCSC6
T05956	sks	Salinivibrio kushneri
T06511	scot	Salinivibrio costicola
T00035	pae	Pseudomonas aeruginosa PAO1
T03097	paev	Pseudomonas aeruginosa PAO1-VE13
T03170	paei	Pseudomonas aeruginosa PAO1-VE2
T00401	pau	Pseudomonas aeruginosa UCBPP-PA14
T00569	pap	Pseudomonas aeruginosa PA7
T00818	pag	Pseudomonas aeruginosa LESB58
T01973	paf	Pseudomonas aeruginosa M18
T01974	pnc	Pseudomonas aeruginosa NCGM2.S1
T03789	paeb	Pseudomonas aeruginosa NCGM 1900
T02161	pdk	Pseudomonas aeruginosa DK2
T02627	psg	Pseudomonas aeruginosa B136-33
T02711	prp	Pseudomonas aeruginosa RP73
T02928	paep	Pseudomonas aeruginosa PA1
T02929	paer	Pseudomonas aeruginosa PA1R
T02951	paem	Pseudomonas aeruginosa MTB-1
T02970	pael	Pseudomonas aeruginosa LES431
T02971	paes	Pseudomonas aeruginosa SCV20265
T03031	paeu	Pseudomonas aeruginosa PA38182
T03035	paeg	Pseudomonas aeruginosa YL84
T03098	paec	Pseudomonas aeruginosa c7447m
T03171	paeo	Pseudomonas aeruginosa PAO581
T00510	pmy	Pseudomonas mendocina ymp
T01473	pmk	Pseudomonas mendocina NK-01
T02708	pre	Pseudomonas resinovorans
T03772	ppse	Pseudomonas pseudoalcaligenes
T07047	pfuw	Pseudomonas furukawaii
T04318	palc	Pseudomonas alcaligenes
T04637	pcq	Pseudomonas citronellolis
T07281	pmui	Pseudomonas multiresinivorans
T00114	ppu	Pseudomonas putida KT2440
T00537	ppf	Pseudomonas putida F1
T00650	ppg	Pseudomonas putida GB-1
T00675	ppw	Pseudomonas putida W619
T01570	ppt	Pseudomonas putida S16
T01975	ppb	Pseudomonas putida BIRD-1
T02170	ppi	Pseudomonas putida ND6
T02181	ppx	Pseudomonas putida DOT-T1E
T02389	ppuh	Pseudomonas putida HB3267
T02706	pput	Pseudomonas putida H8234
T02707	ppun	Pseudomonas putida NBRC 14164
T03439	ppud	Pseudomonas putida DLL-E4
T01501	pfv	Pseudomonas fulva
T02972	pmon	Pseudomonas monteilii SB3078
T02973	pmot	Pseudomonas monteilii SB3101
T03276	pmos	Pseudomonas soli
T03646	ppj	Pseudomonas plecoglossicida
T04267	por	Pseudomonas oryzihabitans
T07806	pmol	Pseudomonas mosselii
T00118	pst	Pseudomonas syringae pv. tomato DC3000
T00246	psb	Pseudomonas syringae pv. syringae B728a
T03014	psyr	Pseudomonas syringae CC1557
T00266	psp	Pseudomonas savastanoi pv. phaseolicola 1448A
T07948	psav	Pseudomonas savastanoi pv. savastanoi
T05354	pamg	Pseudomonas amygdali
T03002	pci	Pseudomonas cichorii
T05369	pavl	Pseudomonas avellanae
T06554	pvd	Pseudomonas viridiflava
T07379	pcab	Pseudomonas cannabina pv. alisalensis
T08147	pcof	Pseudomonas coronafaciens pv. oryzae
T08237	ptre	Pseudomonas tremae
T08245	psyi	Pseudomonas syringae pv. tagetis
T08470	past	Pseudomonas asturiensis
T00249	pfl	Pseudomonas protegens Pf-5
T02671	pprc	Pseudomonas protegens CHA0
T03613	ppro	Pseudomonas protegens Cab57
T01734	pfe	Pseudomonas ogarae
T03319	pfn	Pseudomonas fluorescens UK4
T00283	pfo	Pseudomonas fluorescens Pf0-1
T00899	pfs	Pseudomonas fluorescens SBW25
T02114	pfc	Pseudomonas fluorescens A506
T02456	ppz	Pseudomonas poae
T03769	pfb	Pseudomonas synxantha LBUM223
T03626	pman	Pseudomonas mandelii
T04006	ptv	Pseudomonas trivialis
T04842	pcg	Pseudomonas corrugata
T04853	pvr	Pseudomonas veronii
T04879	pazo	Pseudomonas azotoformans
T05323	poi	Pseudomonas orientalis
T07097	prx	Pseudomonas rhodesiae
T08284	pmed	Pseudomonas mediterranea
T03766	pfw	Pseudomonas simiae PCL1751
T03767	pff	Pseudomonas simiae PICF7
T04730	pfx	Pseudomonas lurida
T00362	pen	Pseudomonas entomophila
T06601	plul	Pseudomonas luteola
T01472	pba	Pseudomonas brassicacearum subsp. brassicacearum NFM421
T03174	pbc	Pseudomonas brassicacearum DF41
T02357	ppuu	Pseudomonas sp. UW4
T02524	pdr	Pseudomonas sp. ATCC 13867
T02897	psv	Pseudomonas sp. VLB120
T02969	psk	Pseudomonas sp. TKP
T03081	pkc	Pseudomonas knackmussii
T03201	pch	Pseudomonas chlororaphis PA23
T03768	pcz	Pseudomonas chlororaphis PCL1606
T03338	pcp	Pseudomonas chlororaphis subsp. aurantiaca
T04285	pfz	Pseudomonas fragi
T05473	plq	Pseudomonas lundensis
T03238	palk	Pseudomonas alkylphenolica
T03339	prh	Pseudomonas rhizosphaerae
T03354	psw	Pseudomonas cremoricolorata
T03520	ppv	Pseudomonas parafulva
T03623	pses	Pseudomonas sp. StFLB209
T03702	psem	Pseudomonas sp. MRSN12121
T03967	psec	Pseudomonas sp. CCOS 191
T04081	ppsy	Pseudomonas versuta
T04177	psos	Pseudomonas sp. Os17
T04647	pkr	Pseudomonas koreensis
T04786	pfk	Pseudomonas frederiksbergensis
T04830	panr	Pseudomonas antarctica
T05074	ppsl	Pseudomonas psychrotolerans
T05373	pset	Pseudomonas sp. TCU-HL1
T05412	psil	Pseudomonas silesiensis
T05821	pym	Pseudomonas yamanorum
T05857	pade	Candidatus Pseudomonas adelgestsugas
T06348	pke	Pseudomonas kribbensis
T06680	pall	Pseudomonas alcaliphila
T06842	pum	Pseudomonas umsongensis
T06890	poj	Pseudomonas otitidis
T06934	pgg	Pseudomonas graminis
T06988	ppsh	Pseudomonas psychrophila
T06994	pgy	Pseudomonas glycinae
T07120	plal	Pseudomonas lalkuanensis
T07154	psej	Pseudomonas sediminis
T07167	pvk	Pseudomonas viciae
T07251	pez	Pseudomonas eucalypticola
T07266	pbz	Pseudomonas bijieensis
T07269	pkh	Pseudomonas khazarica
T07285	pty	Pseudomonas toyotomiensis
T07318	pmao	Pseudomonas marincola
T07336	pata	Pseudomonas atacamensis
T07361	pdw	Pseudomonas donghuensis
T07528	pze	Pseudomonas zeae
T07539	pmoe	Pseudomonas monsensis
T07561	pcam	Pseudomonas campi
T07575	psep	Pseudomonas sessilinigenes
T07587	pvw	Pseudomonas vanderleydeniana
T07594	ptrt	Pseudomonas tritici
T07606	pxa	Pseudomonas xanthosomae
T07619	psam	Pseudomonas salmasensis
T07620	ptz	Pseudomonas tensinigenes
T07622	pqi	Pseudomonas qingdaonensis
T07642	pshh	Pseudomonas shahriarae
T07643	pxn	Pseudomonas xantholysinigenes
T07661	phv	Pseudomonas hamedanensis
T07662	pprg	Pseudomonas promysalinigenes
T07673	pnn	Pseudomonas nanhaiensis
T07691	panh	Pseudomonas anuradhapurensis
T07697	pasg	Pseudomonas asgharzadehiana
T07698	pfak	Pseudomonas fakonensis
T07704	pmuy	Pseudomonas muyukensis
T07719	pmam	Pseudomonas maumuensis
T07706	paze	Pseudomonas azerbaijanoriens
T07736	palv	Pseudomonas alvandae
T07765	ppha	Pseudomonas phragmitis
T07791	pory	Pseudomonas oryziphila
T07852	pwz	Pseudomonas wenzhouensis
T07857	ptk	Pseudomonas tructae
T07887	ptw	Pseudomonas tohonis
T07889	pza	Pseudomonas zarinae
T07894	pie	Pseudomonas iranensis
T08016	pwy	Pseudomonas wayambapalatensis
T08085	ptae	Pseudomonas taetrolens
T08191	pgf	Pseudomonas germanica
T08208	pcav	Pseudomonas cavernae
T08267	pju	Pseudomonas juntendi
T00511	psa	Pseudomonas stutzeri A1501
T01571	psz	Pseudomonas stutzeri ATCC 17588
T01976	psr	Pseudomonas stutzeri DSM 4166
T02168	psc	Pseudomonas stutzeri CCUG 29243
T02182	psj	Pseudomonas stutzeri DSM 10701
T02391	psh	Pseudomonas stutzeri RCH2
T03366	pstu	Stutzerimonas stutzeri 19SMN4
T03390	pstt	Stutzerimonas stutzeri 28a24
T05921	psed	Stutzerimonas frequens
T07923	pchl	Stutzerimonas chloritidismutans
T03573	pbm	Stutzerimonas balearica
T08242	pkg	Stutzerimonas kunmingensis
T08431	sdeg	Stutzerimonas degradans
T00885	avn	Azotobacter vinelandii DJ
T02633	avl	Azotobacter vinelandii CA
T02634	avd	Azotobacter vinelandii CA6
T03640	acx	Azotobacter chroococcum
T04152	pbb	Thiopseudomonas alkaliphila
T06332	pagr	Permianibacter aggregans
T06727	emo	Entomomonas moraniae
T07735	hpeg	Halopseudomonas pelagia
T07924	haes	Halopseudomonas aestusnigri
T00454	maq	Marinobacter nauticus VT8
T02083	mhc	Marinobacter nauticus ATCC 49840
T01922	mad	Marinobacter adhaerens
T02323	mbs	Marinobacter sp. BSs20148
T03593	msr	Marinobacter salarius
T03594	msx	Marinobacter similis
T03980	mpq	Marinobacter psychrophilus
T04052	mari	Marinobacter sp. CP1
T04470	mlq	Marinobacter sp. LQ44
T04766	msq	Marinobacter salinus
T05619	mara	Marinobacter sp. Arc7-DN-1
T06162	marj	Marinobacter sp. JH2
T00256	par	Psychrobacter arcticus
T00350	pcr	Psychrobacter cryohalolentis
T00541	prw	Psychrobacter sp. PRwf-1
T02715	pso	Psychrobacter sp. G
T04087	pur	Psychrobacter urativorans
T04320	pali	Psychrobacter alimentarius
T04386	pspg	Psychrobacter sp. P2G3
T04411	psyg	Psychrobacter sp. P11G5
T04748	psyc	Psychrobacter sp. DAB_AL43B
T04964	psya	Psychrobacter sp. AntiMn-1
T05488	psyy	Psychrobacter sp. YP14
T06076	psyp	Psychrobacter sp. PAMC27889
T08351	pky	Psychrobacter sp. KH172YL61
T00486	acb	Acinetobacter baumannii ATCC 17978
T00660	abm	Acinetobacter baumannii SDF
